pct,epoch,train_loss,val_miou,val_acc,lr,iou_road,iou_person,iou_car,iou_building,iou_vegetation
10,1,0.7429296225309372,0.3428679406642914,0.8751358147969284,0.00029917828430524096,0.926807701587677,0.4926106035709381,0.8162251710891724,0.7659764289855957,0.8117523789405823
10,2,0.35780981807289897,0.4009711742401123,0.9028407791943847,0.0002967221401100708,0.9491060376167297,0.5941479802131653,0.8276428580284119,0.8445528149604797,0.8416429758071899
10,3,0.2645021932753357,0.42442482709884644,0.8909664259596866,0.00029265847744427303,0.9515958428382874,0.5870532989501953,0.8566169142723083,0.8175071477890015,0.7990773320198059
10,4,0.20686251831215782,0.4510367512702942,0.9140423135144856,0.0002870318186463901,0.9536858797073364,0.6164674162864685,0.8554342985153198,0.8513633012771606,0.8696742057800293
10,5,0.17229566984885447,0.5054579377174377,0.9174859207102981,0.0002799038105676658,0.9508564472198486,0.6394101977348328,0.8686569929122925,0.857738733291626,0.8742507100105286
10,6,0.15313542845684128,0.5168605446815491,0.9186528067299283,0.0002713525491562421,0.9589782953262329,0.6431915163993835,0.8752782344818115,0.8660112619400024,0.8754688501358032
10,7,0.13055591043588277,0.5329459309577942,0.9244686226643879,0.00026147172382160914,0.9630535244941711,0.6319341659545898,0.8737874031066895,0.869310200214386,0.8785291314125061
10,8,0.11707885885560834,0.555801272392273,0.9259222592867634,0.00025036959095382875,0.9646127223968506,0.6794757843017578,0.8736158609390259,0.871090292930603,0.8812901973724365
10,9,0.10353499691228608,0.5539709329605103,0.9276353381770571,0.000238167787843871,0.9662507772445679,0.68033367395401,0.8736438155174255,0.8695729374885559,0.8839141726493835
10,10,0.09399192901076497,0.5717347860336304,0.929688462546547,0.00022500000000000002,0.9667587280273438,0.6809293627738953,0.8833513259887695,0.8760844469070435,0.8846449255943298
10,11,0.0851886939962168,0.5828253030776978,0.9311869877895887,0.0002110104964613701,0.9667531847953796,0.6884157657623291,0.8880906701087952,0.8743426203727722,0.8893508911132812
10,12,0.08022360634562131,0.5715057253837585,0.9316185249151631,0.00019635254915624216,0.9685428738594055,0.6808242201805115,0.8823453783988953,0.8795822858810425,0.888347864151001
10,13,0.07584192467903769,0.5856242775917053,0.9324160024521273,0.00018118675362266393,0.9682549238204956,0.6880302429199219,0.8868628740310669,0.8789560794830322,0.8884207010269165
10,14,0.07160630857420934,0.5919499397277832,0.9330091865979917,0.0001656792694901481,0.9698243737220764,0.6928520202636719,0.887658417224884,0.8797151446342468,0.8909870982170105
10,15,0.06846840065476056,0.5861552357673645,0.9329890107116379,0.0001500000000000001,0.969681978225708,0.7004731893539429,0.8886116743087769,0.8786459565162659,0.8908264636993408
10,16,0.06470877022759335,0.5917863249778748,0.9335763580281096,0.00013432073050985205,0.9689573645591736,0.6959351301193237,0.8863444924354553,0.8815338611602783,0.8905128836631775
10,17,0.06246847855682309,0.5893258452415466,0.9334143140336231,0.00011881324637733612,0.9697378277778625,0.6950182914733887,0.8872681856155396,0.8799187541007996,0.8902846574783325
10,18,0.059640779285817534,0.5884544849395752,0.9338192844245174,0.00010364745084375793,0.9697582721710205,0.6957631707191467,0.8880366683006287,0.8809067606925964,0.8901447653770447
10,19,0.05722097528947366,0.5971075296401978,0.9341671646911496,8.898950353863e-05,0.970039427280426,0.6966753005981445,0.891828715801239,0.8804469704627991,0.8904005885124207
10,20,0.05575149345236856,0.5839521288871765,0.9337604362716713,7.500000000000006e-05,0.9699464440345764,0.6977033019065857,0.8904117345809937,0.8806801438331604,0.8906037211418152
10,21,0.05445371497724507,0.5927155017852783,0.9341154446244228,6.183221215612908e-05,0.9701090455055237,0.7033160328865051,0.8909782767295837,0.8805728554725647,0.8907636404037476
10,22,0.05320694146526826,0.5838756561279297,0.9336374484308121,4.963040904617134e-05,0.9703128933906555,0.6915972828865051,0.8880606293678284,0.8792549967765808,0.8906632661819458
10,23,0.05158385493465372,0.5868099927902222,0.9341034786879323,3.85282761783909e-05,0.9705809354782104,0.700096070766449,0.8895370364189148,0.8800855278968811,0.8908094167709351
10,24,0.05091273044613567,0.5850220322608948,0.9336419940034781,2.8647450843757918e-05,0.9699313044548035,0.6980830430984497,0.8887746930122375,0.8790910840034485,0.8912312388420105
10,25,0.05019284407230648,0.5857771039009094,0.9338074668080563,2.0096189432334208e-05,0.970220685005188,0.6918320059776306,0.8885564804077148,0.8800942301750183,0.8900996446609497
10,26,0.049640660249703636,0.5852468609809875,0.9337867543521843,1.2968181353609862e-05,0.9704548716545105,0.6948003768920898,0.8883031010627747,0.8792858719825745,0.8908435106277466
10,27,0.04946325185733873,0.5820232033729553,0.9336037885088432,7.341522555726975e-06,0.970059335231781,0.6940931081771851,0.887435793876648,0.8786860704421997,0.8911088109016418
