corruption,severity,miou,acc,delta_miou,delta_acc
gaussian_blur,3,0.5821083188056946,0.9217868787490655,0.13961261510849,0.031060792309979712
motion_blur,3,0.6111096143722534,0.9295378130202024,0.11061131954193115,0.02330985803884278
gaussian_noise,3,0.047571685165166855,0.45200868790679377,0.6741492487490177,0.5008389831522515
brightness,3,0.7135253548622131,0.9507003678332325,0.008195579051971436,0.002147303225812691
contrast,3,0.7139258980751038,0.9505539628771414,0.0077950358390808105,0.0022937081819037752
jpeg,3,0.2829698622226715,0.6969785984187318,0.43875107169151306,0.25586907264031344
