corruption,severity,miou,acc,delta_miou,delta_acc
gaussian_blur,3,0.6076448559761047,0.9305710103450867,0.06446969509124756,0.011552969905085142
motion_blur,3,0.5975549817085266,0.928919641311736,0.07455956935882568,0.013204338938435867
gaussian_noise,3,0.4984004497528076,0.8870196256146784,0.17371410131454468,0.05510435463549346
brightness,3,0.6640685796737671,0.9407785212774834,0.008045971393585205,0.0013454589726884514
contrast,3,0.6673043966293335,0.9411224099903829,0.004810154438018799,0.0010015702597889753
jpeg,3,0.5498462319374084,0.8955138875249828,0.12226831912994385,0.04661009272518901
