corruption,severity,cnn_miou,cnn_acc,cnn_delta_miou,cnn_delta_acc,sf_miou,sf_acc,sf_delta_miou,sf_delta_acc
gaussian_blur,3,0.5821083188056946,0.9217868787490656,0.13961261510849,0.0310607923099797,0.6076448559761047,0.9305710103450868,0.0644696950912475,0.0115529699050851
motion_blur,3,0.6111096143722534,0.9295378130202024,0.1106113195419311,0.0233098580388427,0.5975549817085266,0.928919641311736,0.0745595693588256,0.0132043389384358
gaussian_noise,3,0.0475716851651668,0.4520086879067937,0.6741492487490177,0.5008389831522515,0.4984004497528076,0.8870196256146784,0.1737141013145446,0.0551043546354934
brightness,3,0.7135253548622131,0.9507003678332324,0.0081955790519714,0.0021473032258126,0.6640685796737671,0.9407785212774834,0.0080459713935852,0.0013454589726884
contrast,3,0.7139258980751038,0.9505539628771414,0.0077950358390808,0.0022937081819037,0.6673043966293335,0.9411224099903828,0.0048101544380187,0.0010015702597889
jpeg,3,0.2829698622226715,0.6969785984187318,0.438751071691513,0.2558690726403134,0.5498462319374084,0.8955138875249828,0.1222683191299438,0.046610092725189
